                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 1.2336,                 1.0304,                 4.4234,                 1.8011,                0.59859,                0.46663,                 0.2975,                  0.204,                0.59859,                0.46663,                0.29765,                 0.1963,                0.77519,                0.11858,                 2.9159,                 1.3784,                 0.0705,              0.0032778,              0.0032778
                      1,                 0.9413,                 0.1669,                 2.6137,                 1.4666,                0.57392,                0.50926,                0.38924,                0.27281,                0.57392,                0.50926,                0.38924,                 0.2686,                0.82041,               0.090914,                 3.2688,                 1.3406,               0.040435,              0.0065457,              0.0065457
                      2,                 0.9165,                0.14922,                 2.3418,                 1.4113,                0.55709,                0.38299,                 0.3258,                 0.1854,                0.55221,                0.37541,                 0.3224,                 0.1792,                 1.1102,               0.098788,                 2.1064,                 1.7453,               0.010303,              0.0097475,              0.0097475
                      3,                 1.0056,                0.14987,                 2.0952,                 1.4428,                0.63333,                0.26991,                0.40336,                0.24279,                0.63333,                0.26991,                 0.4046,                0.24169,                 1.0383,               0.099915,                 2.1384,                 1.6398,               0.009703,               0.009703,               0.009703
                      4,                 1.0186,                0.13277,                 1.7389,                 1.4831,                 0.6596,                0.30724,                0.34548,                 0.2306,                 0.6596,                0.30724,                0.34583,                 0.2227,                 1.1897,                0.10737,                 2.5413,                 1.8337,               0.009703,               0.009703,               0.009703
                      5,                 1.2603,                0.13964,                  2.068,                  1.687,                0.62219,                0.30357,                 0.3124,                 0.2045,                0.63038,                0.28872,                0.31172,                0.20384,                 1.2551,               0.075654,                 3.8948,                 2.0354,               0.009604,               0.009604,               0.009604
                      6,                 1.2118,                0.14359,                 1.9183,                 1.6372,                0.19194,                0.46549,                0.31169,                0.18959,                0.18899,                0.45791,                0.30553,                0.18424,                 1.4758,               0.090808,                  2.253,                 2.0441,               0.009505,               0.009505,               0.009505
                      7,                 1.2011,                0.15118,                  1.884,                 1.6322,                0.25816,                0.36448,                0.33062,                0.20205,                0.25365,                 0.3454,                0.32734,                0.19089,                 1.3429,               0.088235,                 2.2577,                 1.9884,               0.009406,               0.009406,               0.009406
                      8,                 1.2341,                 0.1544,                  1.776,                 1.6744,                0.74247,                0.40939,                0.43857,                0.30342,                0.74247,                0.40939,                0.43845,                0.29111,                 1.1962,               0.089579,                 2.1224,                 1.8346,               0.009307,               0.009307,               0.009307
                      9,                 1.1824,                0.14963,                 1.6624,                 1.5807,                0.61552,                0.49294,                0.45367,                0.29985,                0.61552,                0.49294,                0.45367,                0.28836,                 1.2198,               0.083434,                 2.7415,                 1.8133,               0.009208,               0.009208,               0.009208
                     10,                 1.1617,                0.14784,                 1.6219,                 1.5778,                0.79703,                0.41344,                0.47798,                0.28846,                0.78935,                0.40587,                0.46949,                 0.2767,                 1.4317,                0.08268,                 1.9623,                 1.9212,               0.009109,               0.009109,               0.009109
